,Allotted Quota,Allotted Institute,Course,Alloted Category,R1,R2,Mop Up,Stray Vacancy,SP Stray Vacancy
33,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (BIOCHEMISTRY),SC,68081,-,-,-,-
34,All India,"All India Institute of Hygiene and Public Health,110,C. R Avenue,Kolkata,West Bengal,700073",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,Open,17511,-,-,-,-
35,All India,"All India Institute of Hygiene and Public Health,110,C. R Avenue,Kolkata,West Bengal,700073",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,EWS,18231,-,-,-,-
36,All India,"All India Institute of Hygiene and Public Health,110,C. R Avenue,Kolkata,West Bengal,700073",M.P.H. (EPIDEMIOLOGY),Open,24924,-,-,-,-
37,All India,"All India Institute of Hygiene and Public Health,110,C. R Avenue,Kolkata,West Bengal,700073",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,26038,-,-,-,-
38,All India,"All India Institute of Hygiene and Public Health,110,C. R Avenue,Kolkata,West Bengal,700073",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,ST,36795,-,-,-,-
39,All India,"All India Institute of Hygiene and Public Health,110,C. R Avenue,Kolkata,West Bengal,700073",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,SC,37638,-,-,-,-
40,All India,"All India Institute of Hygiene and Public Health,110,C. R Avenue,Kolkata,West Bengal,700073",M.P.H. (EPIDEMIOLOGY),SC,47519,-,-,-,-
41,All India,"All India Institute of Physical Medicine and Rehabilitation,All India Institute of Physical Medicine and Rehabilitation,Maharashtra,400034",M.D. (PHYSICAL MED. and REHABILITATION),Open,8418,-,-,-,-
42,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (GENERAL MEDICINE),Open,704,-,-,-,-
43,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (GENERAL MEDICINE),EWS,841,-,-,-,-
44,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (RADIO-DIAGNOSIS),Open,903,-,-,-,-
45,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (GENERAL MEDICINE),OBC,1669,-,-,-,-
46,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREALDISEASES)/(VENEREOLOGY)",OBC,2323,-,-,-,-
47,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PAEDIATRICS),Open,2613,-,-,-,-
48,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PAEDIATRICS),OBC,2642,-,-,-,-
49,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D.(Respiratory Medicine),Open,3285,-,-,-,-
50,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (GENERAL SURGERY),Open,3678,-,-,-,-
51,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Open,3800,-,-,-,-
52,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (GENERAL MEDICINE),SC,4112,-,-,-,-
53,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",DIP. IN DERM. VENEREOLOGY and LEPROSY/DERMATOLOGY /VENEREOLOGY and DERMATOLOGY/LEPROSY/VENEREAL DISEASE and LEPROSY,Open,4308,-,-,-,-
54,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (ORTHOPAEDICS),Open,4418,-,-,-,-
55,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),OBC,4824,-,-,-,-
56,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),EWS,4875,-,-,-,-
57,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D.(Respiratory Medicine),OBC,4920,-,-,-,-
58,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (GENERAL SURGERY),EWS,5932,-,-,-,-
59,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (GENERAL SURGERY),OBC,6121,-,-,-,-
60,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D.(Respiratory Medicine),EWS,6646,-,-,-,-
61,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (OPHTHALMOLOGY),Open,7224,-,-,-,-
62,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (E.N.T.),Open,7553,-,-,-,-
63,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (E.N.T.),OBC,9011,-,-,-,-
64,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",DIP. IN DERM. VENEREOLOGY and LEPROSY/DERMATOLOGY /VENEREOLOGY and DERMATOLOGY/LEPROSY/VENEREAL DISEASE and LEPROSY,EWS,10054,-,-,-,-
65,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (ANAESTHESIOLOGY),Open,10082,-,-,-,-
66,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (OPHTHALMOLOGY),OBC,10404,-,-,-,-
67,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),SC,10464,-,-,-,-
68,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PSYCHIATRY),Open,10544,-,-,-,-
69,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (ANAESTHESIOLOGY),OBC,11710,-,-,-,-
70,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (ANAESTHESIOLOGY),EWS,13162,-,-,-,-
71,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PAEDIATRICS),SC,13395,-,-,-,-
72,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (OPHTHALMOLOGY),EWS,13545,-,-,-,-
73,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PATHOLOGY),OBC,13872,-,-,-,-
74,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (ORTHOPAEDICS),SC,14255,-,-,-,-
75,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (GENERAL SURGERY),SC,14349,-,-,-,-
76,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),ST,14414,-,-,-,-
77,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PSYCHIATRY),OBC,14502,-,-,-,-
78,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PSYCHIATRY),EWS,15814,-,-,-,-
79,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D.(Respiratory Medicine),SC,17238,-,-,-,-
80,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",DIP. IN DERM. VENEREOLOGY and LEPROSY/DERMATOLOGY /VENEREOLOGY and DERMATOLOGY/LEPROSY/VENEREAL DISEASE and LEPROSY,SC,17332,-,-,-,-
81,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (ANAESTHESIOLOGY),SC,20748,-,-,-,-
82,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (E.N.T.),SC,21106,-,-,-,-
83,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D.(Respiratory Medicine),ST,21616,-,-,-,-
84,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PATHOLOGY),EWS,26278,-,-,-,-
85,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (FORENSIC MEDICINE),Open,26530,-,-,-,-
86,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PSYCHIATRY),SC,27119,-,-,-,-
87,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,29456,-,-,-,-
88,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (GENERAL SURGERY),ST,34038,-,-,-,-
89,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",DIPLOMA IN CLINICAL PATHOLOGY,OBC,39953,-,-,-,-
90,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PHARMACOLOGY),Open,40109,-,-,-,-
91,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (FORENSIC MEDICINE),OBC,40148,-,-,-,-
92,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (MICROBIOLOGY),Open,40685,-,-,-,-
93,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (MICROBIOLOGY),OBC,42565,-,-,-,-
94,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (OPHTHALMOLOGY),ST,44487,-,-,-,-
95,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PHYSIOLOGY),Open,46186,-,-,-,-
96,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (ANAESTHESIOLOGY),ST,47245,-,-,-,-
97,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.S. (E.N.T.),ST,48148,-,-,-,-
98,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,EWS,53459,-,-,-,-
99,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PSYCHIATRY),ST,56610,-,-,-,-
100,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PATHOLOGY),ST,57985,-,-,-,-
101,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (BIOCHEMISTRY),Open,59736,-,-,-,-
102,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",MD/MS (Anatomy),Open,65040,-,-,-,-
103,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (BIOCHEMISTRY),OBC,67360,-,-,-,-
104,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PHYSIOLOGY),OBC,69689,-,-,-,-
105,All India,"Andhra Medical College,Andhra Medical College,Andhra Pradesh,530002",M.D. (PHYSIOLOGY),SC,86670,-,-,-,-
106,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREALDISEASES)/(VENEREOLOGY)",Open,2172,-,-,-,-
107,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREALDISEASES)/(VENEREOLOGY)",OBC,2853,-,-,-,-
108,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.S. (ORTHOPAEDICS),Open,7363,-,-,-,-
109,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Open,7965,-,-,-,-
110,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.D. (PAEDIATRICS),EWS,8054,-,-,-,-
111,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),EWS,8117,-,-,-,-
112,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.S. (ORTHOPAEDICS),OBC,10718,-,-,-,-
113,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.D. (ANAESTHESIOLOGY),Open,11263,-,-,-,-
114,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.S. (OPHTHALMOLOGY),OBC,17171,-,-,-,-
115,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.D. (PATHOLOGY),Open,24257,-,-,-,-
116,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.S. (OPHTHALMOLOGY),SC,31606,-,-,-,-
117,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.S. (E.N.T.),SC,33246,-,-,-,-
118,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.D. (PHARMACOLOGY),Open,42851,-,-,-,-
119,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.S. (GENERAL SURGERY),ST,48151,-,-,-,-
120,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",MD/MS (Anatomy),OBC,70505,-,-,-,-
121,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.D. (PHYSIOLOGY),OBC,81602,-,-,-,-
122,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",MD/MS (Anatomy),SC,86807,-,-,-,-
123,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,Bihar,823001",M.D. (PHYSIOLOGY),SC,93183,-,-,-,-
124,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (RADIO-DIAGNOSIS),Open,1069,-,-,-,-
125,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (RADIO-DIAGNOSIS),OBC,2088,-,-,-,-
126,All India,"Assam Medical College,Assam Medical College,Assam,786002","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREALDISEASES)/(VENEREOLOGY)",Open,2572,-,-,-,-
127,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (GENERAL MEDICINE),Open,2988,-,-,-,-
128,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (GENERAL MEDICINE),OBC,4425,-,-,-,-
129,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PAEDIATRICS),Open,5456,-,-,-,-
130,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PAEDIATRICS),OBC,5500,-,-,-,-
131,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (ORTHOPAEDICS),Open,7572,-,-,-,-
132,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (GENERAL SURGERY),Open,7747,-,-,-,-
133,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Open,7816,-,-,-,-
134,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (RADIO-DIAGNOSIS),SC,9040,-,-,-,-
135,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (ORTHOPAEDICS),OBC,9268,-,-,-,-
136,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),OBC,10567,-,-,-,-
137,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),EWS,10570,-,-,-,-
138,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PSYCHIATRY),Open,10666,-,-,-,-
139,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (GENERAL SURGERY),OBC,11605,-,-,-,-
140,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (OPHTHALMOLOGY),Open,11757,-,-,-,-
141,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (ORTHOPAEDICS),EWS,11817,-,-,-,-
142,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (GENERAL SURGERY),EWS,13376,-,-,-,-
143,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (GENERAL MEDICINE),SC,14168,-,-,-,-
144,All India,"Assam Medical College,Assam Medical College,Assam,786002",DIPLOMA IN CHILD HEALTH/ PAEDIATRICS,Open,15632,-,-,-,-
145,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (E.N.T.),OBC,15672,-,-,-,-
146,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (ANAESTHESIOLOGY),Open,15993,-,-,-,-
147,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PSYCHIATRY),OBC,16254,-,-,-,-
148,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PAEDIATRICS),SC,16953,-,-,-,-
149,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (ORTHOPAEDICS),SC,17299,-,-,-,-
150,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (ANAESTHESIOLOGY),OBC,18611,-,-,-,-
151,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (Radiotherapy/ Radiation Oncology),Open,18880,-,-,-,-
152,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (RADIO-DIAGNOSIS),ST,19190,-,-,-,-
153,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),SC,19449,-,-,-,-
154,All India,"Assam Medical College,Assam Medical College,Assam,786002",DIPLOMA IN CHILD HEALTH/ PAEDIATRICS,OBC,20675,-,-,-,-
155,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (GENERAL MEDICINE),ST,23564,-,-,-,-
156,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PATHOLOGY),Open,24997,-,-,-,-
157,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PSYCHIATRY),EWS,25030,-,-,-,-
158,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (GENERAL SURGERY),SC,25382,-,-,-,-
159,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PATHOLOGY),OBC,28528,-,-,-,-
160,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (ANAESTHESIOLOGY),SC,29295,-,-,-,-
161,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (MICROBIOLOGY),OBC,30712,-,-,-,-
162,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (E.N.T.),SC,32545,-,-,-,-
163,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,Open,33424,-,-,-,-
164,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (ORTHOPAEDICS),ST,34377,-,-,-,-
165,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),ST,35621,-,-,-,-
166,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,36945,-,-,-,-
167,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PHARMACOLOGY),Open,37481,-,-,-,-
168,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.S. (E.N.T.),ST,37866,-,-,-,-
169,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (ANAESTHESIOLOGY),ST,38965,-,-,-,-
170,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (BIOCHEMISTRY),Open,49704,-,-,-,-
171,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PATHOLOGY),ST,50600,-,-,-,-
172,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PHARMACOLOGY),OBC,56906,-,-,-,-
173,All India,"Assam Medical College,Assam Medical College,Assam,786002",MD/MS (Anatomy),Open,65708,-,-,-,-
174,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (MICROBIOLOGY),SC,68927,-,-,-,-
175,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PHYSIOLOGY),Open,75442,-,-,-,-
176,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (BIOCHEMISTRY),OBC,75667,-,-,-,-
177,All India,"Assam Medical College,Assam Medical College,Assam,786002",MD/MS (Anatomy),OBC,81702,-,-,-,-
178,All India,"Assam Medical College,Assam Medical College,Assam,786002",M.D. (PHYSIOLOGY),SC,104081,-,-,-,-
179,All India,"B. J. MEDICAL COLLEGE,B.J. Medical College,New Civil HospitalAsarwa,Ahmedabad-380016,Gujarat,India,Gujarat,380016",M.D. (RADIO-DIAGNOSIS),Open,268,-,-,-,-
180,All India,"B. J. MEDICAL COLLEGE,B.J. Medical College,New Civil HospitalAsarwa,Ahmedabad-380016,Gujarat,India,Gujarat,380016",M.D. (GENERAL MEDICINE),Open,370,-,-,-,-
